SRCSYS,CONTRACT_NO,CONTRACT_ITEM,BUSINESS_AREA,BUSINESS_AREA_NAME,COMP_CODE,COMP_CODE_NAME,TARGET_COMP_CODE,TARGET_COMP_CODE_NAME,CO_AREA,PROFIT_CTR,PROFIT_CTR_NAME,PLANT,PLANT_NAME,PRODUCT_CLUSTER,PRODUCT_BPC,SBU,PRODUCT_BPC_SBU,BUSINESS_NATURE,SALES_OFFICE,DIVISION,DIVISION_TEXT,PRICING_TYPE,BUY_SELL,CONTRACT_TYPE,CHANNEL,CHANNEL_NAME,REASON_REJ,REASON_REJ_TEXT,EXTERNAL_REFERENCE,INTERNAL_REFERENCE,CONTRACT_RULES,SALES_GROUP,SALES_GROUP_NAME,SALES_PERSON,SALES_PERSON_NAME,CONTRACT_DATE,CONTRACT_DATE_YM,CONTRACT_DATE_YR,SHIPMENT_START_DATE,SHIPMENT_END_DATE,DELIVERY_START_DATE,DELIVERY_END_DATE,CUSTOMER,CUSTOMER_NAME,CUSTOMER_COUNTRY,CUSTOMER_COUNTRY_NAME,CUSTOMER_PARENT,CUSTOMER_GROUP,CUSTOMER_TYPE,REPO,PRIORITY,DESTINATION_COUNTRY,DESTINATION_COUNTRY_NAME,OFI_REGION,SUB_REGION,SHIP_TO,SHIP_TO_NAME,SHIP_TO_COUNTRY,SHIP_TO_COUNTRY_NAME,BILL_TO,FINAL_CUSTOMER_ID,MATERIAL,MATERIAL_TEXT,PRINT_MATERIAL_TEXT,PRODUCT,RAW_MATERIAL,PRODUCT_INNOVATION,PRODUCT_CATEGORY,PRODUCT_CLASSIFICATION,PRODUCT_GRADE,PRODUCT_SUBCATEGORY,PRODUCT_SUBGRADE,PRODUCT_TYPE,MATERIAL_VALUE_STREAM,MATERIAL_VARIETY,PACKING_TYPE,MATERIAL_DEFECTS,MATERIAL_PROCESSING_TYPE,BRAND,MATERIAL_SIZE,PACKING_SIZE,MATERIAL_GROUP,MATL_GROUP_TEXT,QUALITY_TYPE,SHIPMENT_BASIS,CONTRACT_BASIS,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,CERTIFICATION,CROP_YEAR,INCOTERM_ID,INCOTERM,PAYMENT_TERMS,POS,POS_DESCRIPTION,POS_COUNTRY,POS_COUNTRY_NAME,POD,POD_DESCRIPTION,POD_COUNTRY,POD_COUNTRY_NAME,MODE_OF_TRANSPORT,TRANSPORT_TYPE,PACKING,PACKING_UOM,NO_OF_PACKING,PACKING_MATERIAL,WEIGHT_TERMS,WEIGHT_TERMS_DESC,EBIT_UPLIFT,TERMINAL_MONTH,EXCHANGE,BUYER_SELLER_CALL,NO_OF_LOTS,OVER_UNDER,SUBCONTRACT_ID,SAP_CONTRACT_ID,CONTRACT_QTY,DIFFERENTIAL_CONTRACT_QTY,FIXED_CONTRACT_QTY,CONTRACT_UOM,CONTRACT_QTY_MT,CONTRACT_QTY_BU,BASE_UOM,FIXED_PRICE,DIFFERENTIAL_PRICE_USD_MT,FIXED_PRICE_USD_MT,PRICE_UOM,RATIO,FIXED_CONTRACT_VALUE,NET_VALUE,NET_VALUE_USD,CONTRACT_CURRENCY,OVERDLVRY_TOL,UNDERDLVRY_TOL,FX_RATE,TARGET_QTY,DIFFERENTIAL_PRICE,FINAL_PRICE,SALES_UNIT,FXE_RATE,ORIGINAL_CONTRACT_QUANTITY,CONTRACT_BALANCE,CREATED_BY,CREATED_DATE,MODIFIED_DATE,DOC_TYPE,DOC_TYPE_TEXT,ITEM_CATEG,ITEM_CATEG_TEXT,DOC_CATEG,DOC_CATEG_TEXT,MODIFIED_BY,STOCK_IN,ETL_LOAD_TIME,PRICING_NUMBER,REJ_STATUS
C,S018730-1,1,665,,SG00,,SG00,,OL10,SG001201,,,,DAIRY,DAIRY,SUPPLY CHAIN,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,,,,,,10037,,03-12-2021,2021-03,2021,,,,,1082760,,,,,,TPS,,,DK,Denmark,EMENA,North Europe,1082760,,,,1082760,1082760,11933,BURUNDI ARABICA FULLY WASHED A,ABC testing ASD,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,FULLY WASHED,,,60,,,,Shipment,Shipment,BI,Burundi,,,FOB,Free on Board,COA,,,,,DKAAR,,DK,Denmark,01_SEA,,,KG,1167,Jute Bags,Net Shipped Weights,,,May-21,ICEUS,,4,,,,70,,,MT,70,0,,100,,100,USD/MT,,7000,7000,7000,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S614196-1,1,US18,"OLAM Americas, Inc.",US18,,US18,,OL10,US1835,,,,COFFEE,COFFEE,DO NOT USE,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,,,,,,1030,,01-04-2022,2022-01,2022,12/24/2021,12/30/2021,12/24/2021,12/30/2021,1012021,,,,,,TPS,,,CI,Cote d'Ivoire,Rest of Africa,West Africa,1012021,,,,1012021,1012021,11961,COLOMBIA ARABICA WASHED EXCELSO EP 10%,GREEN COFFEE COLOMBIA ARABICA WASHED EXCELSO EP 10%,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,60,,,,Shipment,Shipment,CO,Colombia,,,EXW,Ex Warehouse,ADV,,,,,CIABJ,,CI,Cote d'Ivoire,01_SEA,20' Container,,KG,200,Jute Bags,Net Shipped Weights,,,Mar-22,ICEUS,,1,,,,12,,,MT,12,0,,10,,220.46,USC/LBS,,2645.52,2645.52,2645.52,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S024666-1,1,,,US18,,US18,,OL10,,,,,,,,,,,Coffee,,FIXED,SELL,ICT,,,,,P610933-1,,,,,1,,3/23/2022,2022-03,2022,02-01-2022,2/15/2022,02-01-2022,2/15/2022,OLAM-SG,,,,,,TPS,,,US,USA,North America,North America,OLAM-SG,,,,OLAM-SG,OLAM-SG,,,Green Coffee,OTHERS,,,,,,,,,,,,,,,,70,,,,Shipment,Shipment,CO,Colombia,,2022/23,FOB,Free on Board,CAD-CopyDocs,,,,,USPEB,,US,USA,01_SEA,20' Container,,KG,10,Jute Bags,Net Shipped Weights,,,Mar-22,ICEUS,,1,,,,0.7,,,MT,0.7,0,,10,,220.46,USC/LBS,,154.322,154.322,154.322,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S005152-6,1,829,,SG00,,SG00,,OL10,SG001201,,,,DAIRY,DAIRY,SUPPLY CHAIN,,,,Coffee,,DIFFERENTIAL,SELL,Normal Contract,,,,,P28859,,,,,1275,,5/17/2019,2019-05,2019,,,,,1083143,,,,,,TPS,,,SG,Singapore,APAC,South-East Asia,1083143,,,,1083143,1083143,12213,RWANDA ARABICA WASHED ORDINAIRE,RWANDA ARABICA WASHED ORDINAIRE,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,21.6,,,,Shipment,Shipment,RW,Rwanda,,,FOB,Free on Board,DP,TZDAR,,TZ,Tanzania,TobeAdvised,,SG,Singapore,01_SEA,,,MT,3,,Net Shipped Weights,,,Dec-19,ICEUS,BUYER,4,UNDER,,,64.8,64.8,0,MT,64.8,0,,,110.23,,USC/LBS,,,7142.904,7142.904,USD,3,0,,,5,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S022752-1,1,665,,SG00,,SG00,,OL10,SG001201,,,,DAIRY,DAIRY,SUPPLY CHAIN,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,,,,,,10396,,11-03-2021,2021-11,2021,05-01-2021,5/30/2021,05-01-2021,5/30/2021,1030373,,,,,,TPS,,,CA,Canada,North America,North America,1030373,,,,1030373,1030373,11941,BURUNDI ARABICA UNWASHED SPECIALTY SCREEN 15 PLUS,testingGrade1,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,UNWASHED,,SCREEN 15 PLUS,60,,,,Shipment,Shipment,BI,Burundi,,,FOB,Free on Board,ADV,,,,,CANWE,,CA,Canada,01_SEA,20' Container,,KG,10,Jute Bags,Net Shipped Weights,,,Jun-21,ICEUS,,1,,,,0.6,,,MT,0.6,0,,2190,,2190,USD/MT,,1314,1314,1314,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S610990-1,1,US18,"OLAM Americas, Inc.",US18,,US18,,OL10,US1835,,,,COFFEE,COFFEE,DO NOT USE,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,P605948-1,SM003,,,,1412,,02-04-2020,2020-02,2020,,,,,,,,,,,TPS,,,US,USA,North America,North America,,,,,,,11961,COLOMBIA ARABICA WASHED EXCELSO EP 10%,GREEN COFFEE COLOMBIA ARABICA WASHED EXCELSO EP 10%,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,70,,,,Shipment,Shipment,CO,Colombia,Rainforest Alliance Certified,2019/20,EXW,Ex Warehouse,CAD-CopyDocs,COCTG,,CO,Colombia,USJAX,,US,USA,01_SEA,,,KG,550,Jute Bags,Net Shipped Weights,,,Mar-20,ICEUS,,2,,,,38.5,,,MT,38.5,0,,156,,3439.176,USC/LBS,,132408.276,132408.276,132408.276,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S603662-1,1,US18,"OLAM Americas, Inc.",US18,,US18,,OL10,US1832,,,,,,,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,N/A,SC41634#1,,,,1295,,6/29/2018,2018-06,2018,,,,,1035009,,,,,,TPS,,,US,USA,North America,North America,1035009,,,,1035009,1035009,12130,INDONESIA ARABICA WASHED MANDHELING SUMATRA,Sumatra Organic Gr1,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,60,,,,Delivered,Shipment,ID,Indonesia,,2018/19,EXW,Ex Warehouse,CAD-Trust,IDBLW,,ID,Indonesia,USOAK,,US,USA,01_SEA,,,KG,30,Ecotact Bags,Net Shipped Weights,,,Mar-19,ICEUS,,1,,,,1.8,,,MT,1.8,0,,305,,6724.03,USC/LBS,,12103.254,12103.254,12103.254,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S613312-1,1,US18,"OLAM Americas, Inc.",US18,,US18,,OL10,US1832,,,,,,,,,,Coffee,,FIXED,SELL,Normal Contract,,,,,S613299-1,,,,,1,,7/16/2021,2021-07,2021,08-01-2021,8/15/2021,08-01-2021,8/15/2021,1012021,,,,,,TPS,,,US,USA,North America,North America,1012021,,,,1012021,1012021,11963,COLOMBIA ARABICA WASHED EXCELSO EP 10% 8 DEFECTS,GREEN COFFEE COLOMBIA ARABICA WASHED EXCELSO EP 10% 8 DEFECTS,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,8 DEFECTS,WASHED,,,60,,,,Shipment,Shipment,CO,Colombia,Rainforest Alliance Certified,2011/12,EXW,Ex Warehouse,CAD-Trust,,,,,USNH,,US,USA,01_SEA,20' Container,,KG,320,Jute Bags,Net Shipped Weights,,,Jul-21,ICEUS,,1,,,,19.2,,,MT,19.2,0,,100,,100,USD/MT,,1920,1920,1920,USD,3,0,,,,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S014094-1,1,758,,SG00,,SG00,,OL10,SG001201,,,,DAIRY,DAIRY,SUPPLY CHAIN,,,,Coffee,,DIFFERENTIAL,SELL,Normal Contract,,,,,,,,,,1341,,06-02-2020,2020-06,2020,,,,,1030373,,,,,,TPS,,,DK,Denmark,EMENA,North Europe,1030373,,,,1030373,1030373,11933,BURUNDI ARABICA FULLY WASHED A,testingGrade1,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,FULLY WASHED,,,60,,,,Shipment,Shipment,BI,Burundi,UTZ (IP) Certified,2018/19,EXW,Ex Warehouse,ADV,DKAAR,,DK,Denmark,DKAAR,,DK,Denmark,01_SEA,,,KG,120,Jute Bags,Net Shipped Weights,,,Jul-20,ICEUS,BUYER,1,OVER,,,7.2,7.2,0,MT,7.2,0,,,100,,USD/MT,,,720,720,USD,3,0,,,100,,,1,,,,,,,,,,,,,,45:07.1,0,N
C,S006670-1,1,758,,SG00,,SG00,,OL10,SG001201,,,,DAIRY,DAIRY,SUPPLY CHAIN,,,,Coffee,,DIFFERENTIAL,SELL,ICT,,,,,P901060-1,S901060-1 & P901060-1,GCA,,,1341,,08-06-2019,2019-08,2019,,,,,OLAM USA,,,,,,TPS,,,US,USA,North America,North America,OLAM USA,,,,OLAM USA,OLAM USA,12191,PAPUA NEW GUINEA ARABICA WASHED PSC X,PAPUA NEW GUINEA ARABICA WASHED PSC X,COFFEE,,,GREEN COFFEE,,,Arabica,,,,,,,WASHED,,,60,,,,Shipment,Shipment,PG,Pap. New Guinea,"UTZ (IP) Certified,UTZ (IP) Certified",2019/20,FOB,Free on Board,CAD-Trust,PGLAE,,PG,Pap. New Guinea,USPEB,,US,USA,01_SEA,,,KG,320,Jute Bags,Net Shipped Weights,,,Sep-19,ICEUS,BUYER,1,OVER,,,19.2,0,19.2,MT,19.2,0,,,440.92,,USC/LBS,,,49439.47776,49439.47776,USD,3,0,,,20,,,1,,,,,,,,,,,,,,45:07.1,0,N
